0.390,,557689.192,32832.295,-0.150
0.390,,557689.537,32831.145,-0.140
0.390,,557689.503,32829.808,-0.130
0.420,,557689.437,32828.293,-0.160
0.380,,557689.159,32826.834,-0.110
0.380,,557688.636,32825.364,-0.100
0.390,,557688.013,32823.938,-0.120
0.410,,557687.367,32822.556,-0.140
0.380,,557686.766,32821.219,-0.110
0.390,,557686.221,32819.815,-0.130
0.410,,557685.765,32818.422,-0.150
0.420,,557685.364,32817.019,-0.160
0.410,,557685.053,32815.637,-0.150
0.410,,557684.786,32814.233,-0.150
0.380,,557684.563,32812.785,-0.120
0.410,,557684.363,32811.326,-0.150
0.390,,557684.163,32809.823,-0.130
0.450,,557683.952,32808.319,-0.190
0.440,,557683.740,32806.794,-0.190
0.440,,557683.518,32805.269,-0.180
0.420,,557683.251,32803.732,-0.160
0.420,,557682.995,32802.207,-0.160
0.440,,557682.706,32800.670,-0.180
0.440,,557682.416,32799.145,-0.180
0.480,,557682.094,32797.608,-0.220
0.470,,557681.793,32796.083,-0.210
0.470,,557681.493,32794.580,-0.210
0.480,,557681.182,32793.077,-0.230
0.480,,557680.881,32791.573,-0.220
0.500,,557680.581,32790.070,-0.260
0.480,,557680.269,32788.578,-0.240
0.440,,557679.969,32787.074,-0.200
0.480,,557679.657,32785.582,-0.240
0.480,,557679.379,32784.079,-0.230
0.470,,557679.101,32782.565,-0.210
0.470,,557678.812,32781.072,-0.210
0.500,,557678.511,32779.558,-0.250
0.470,,557678.211,32778.044,-0.220
0.470,,557677.911,32776.529,-0.210
0.440,,557677.599,32775.026,-0.190
0.470,,557677.277,32773.512,-0.210
0.420,,557676.954,32771.986,-0.170
0.420,,557676.654,32770.472,-0.160
0.410,,557676.342,32768.969,-0.140
0.420,,557676.053,32767.465,-0.150
0.420,,557675.775,32765.962,-0.160
0.420,,557675.497,32764.459,-0.170
0.410,,557675.174,32762.956,-0.150
0.420,,557674.874,32761.430,-0.170
0.420,,557674.573,32759.916,-0.170
0.470,,557674.295,32758.413,-0.220
0.450,,557674.006,32756.887,-0.200
0.450,,557673.717,32755.373,-0.190
0.510,,557673.405,32753.847,-0.250
0.480,,557673.094,32752.322,-0.240
0.480,,557672.782,32750.797,-0.240
0.510,,557672.448,32749.282,-0.250
0.510,,557672.137,32747.746,-0.260
0.560,,557671.836,32746.187,-0.320
0.600,,557671.525,32744.662,-0.350
0.630,,557671.213,32743.125,-0.390
0.620,,557670.935,32741.589,-0.380
0.590,,557670.468,32740.152,-0.350
0.630,,557669.834,32739.168,-0.420
0.620,,557669.199,32738.383,-0.400
0.590,,557668.309,32737.610,-0.380
0.560,,557667.297,32737.101,-0.360
0.510,,557666.206,32736.968,-0.300
0.480,,557665.193,32737.178,-0.270
0.450,,557664.426,32737.919,-0.220
0.450,,557664.270,32738.991,-0.240
0.480,,557664.971,32739.776,-0.270
0.470,,557665.995,32739.842,-0.260
0.540,,557667.107,32739.820,-0.330
0.540,,557668.131,32739.599,-0.340
0.570,,557669.366,32739.456,-0.350
0.710,,557670.624,32738.649,-0.480
0.740,,557671.436,32737.433,-0.510
0.760,,557671.870,32735.974,-0.510
0.780,,557671.826,32734.426,-0.530
0.780,,557671.281,32732.912,-0.530
0.790,,557670.335,32731.630,-0.540
0.790,,557669.378,32730.359,-0.550
0.790,,557668.699,32728.977,-0.560
0.820,,557668.198,32727.595,-0.610
0.820,,557667.765,32726.202,-0.600
0.820,,557667.331,32724.810,-0.590
0.840,,557666.952,32723.395,-0.610
0.900,,557666.619,32721.958,-0.670
0.910,,557666.363,32720.477,-0.680
0.940,,557666.129,32718.984,-0.700
0.990,,557665.884,32717.448,-0.750
1.030,,557665.617,32715.901,-0.790
1.080,,557665.350,32714.331,-0.840
1.080,,557665.061,32712.783,-0.840
1.130,,557664.794,32711.247,-0.890
1.130,,557664.538,32709.677,-0.890
1.160,,557664.260,32708.097,-0.930
1.160,,557663.926,32706.527,-0.930
1.210,,557663.604,32705.002,-0.970
1.300,,557663.314,32703.454,-1.060
1.310,,557663.025,32701.907,-1.070
1.370,,557662.736,32700.337,-1.150
1.460,,557662.436,32698.812,-1.240
1.480,,557662.124,32697.264,-1.250
1.480,,557661.779,32695.750,-1.250
1.420,,557661.445,32694.202,-1.190
1.330,,557661.156,32692.677,-1.100
1.390,,557660.889,32691.107,-1.170
1.450,,557660.589,32689.593,-1.220
1.490,,557660.266,32688.057,-1.250
1.530,,557659.988,32686.509,-1.300
1.520,,557659.721,32684.951,-1.300
1.560,,557659.443,32683.425,-1.330
1.620,,557659.131,32681.878,-1.390
1.640,,557658.787,32680.308,-1.400
1.650,,557658.431,32678.749,-1.410
1.670,,557658.130,32677.158,-1.450
1.670,,557657.852,32675.566,-1.460
1.710,,557657.574,32674.030,-1.440
1.770,,557657.251,32672.504,-1.500
1.790,,557656.929,32670.990,-1.540
1.800,,557656.651,32669.409,-1.570
1.800,,557656.406,32667.829,-1.600
1.800,,557656.117,32666.248,-1.580
1.840,,557655.727,32664.678,-1.610
1.820,,557655.360,32663.098,-1.580
1.840,,557655.082,32661.583,-1.600
1.820,,557654.804,32660.036,-1.570
1.820,,557654.481,32658.466,-1.580
1.770,,557654.181,32656.908,-1.550
1.830,,557653.847,32655.360,-1.590
1.860,,557653.535,32653.802,-1.620
1.900,,557653.257,32652.221,-1.660
1.860,,557652.968,32650.629,-1.620
1.870,,557652.612,32649.082,-1.620
1.870,,557652.256,32647.479,-1.640
1.900,,557651.945,32645.920,-1.670
1.930,,557651.678,32644.351,-1.740
1.890,,557651.422,32642.792,-1.680
1.890,,557651.110,32641.245,-1.660
1.930,,557650.765,32639.730,-1.690
1.950,,557650.476,32638.150,-1.710
1.950,,557650.220,32636.558,-1.720
2.010,,557649.964,32634.955,-1.790
1.930,,557649.653,32633.353,-1.720
1.950,,557649.330,32631.783,-1.730
1.980,,557649.008,32630.235,-1.750
1.980,,557648.718,32628.688,-1.760
2.010,,557648.440,32627.096,-1.770
2.040,,557648.162,32625.527,-1.790
1.990,,557647.906,32623.935,-1.760
2.020,,557647.595,32622.343,-1.760
2.050,,557647.250,32620.774,-1.790
2.100,,557646.872,32619.149,-1.840
2.160,,557646.549,32617.612,-1.890
2.050,,557646.360,32616.617,-1.780
2.050,,557646.037,32615.026,-1.740
2.130,,557645.670,32613.434,-1.850
2.130,,557645.303,32611.853,-1.870
2.160,,557644.980,32610.284,-1.930
2.170,,557644.680,32608.703,-1.960
2.190,,557644.413,32607.167,-1.960
2.290,,557644.135,32605.597,-2.070
2.230,,557643.834,32603.983,-2.000
2.240,,557643.567,32602.380,-2.010
2.230,,557643.300,32600.778,-2.010
2.270,,557642.978,32599.186,-2.030
2.320,,557642.633,32597.550,-2.090
2.300,,557642.277,32595.925,-2.060
2.270,,557641.954,32594.322,-2.020
2.270,,557641.665,32592.720,-2.000
2.300,,557641.309,32591.150,-2.010
2.350,,557640.931,32589.569,-2.110
2.360,,557640.630,32588.000,-2.120
2.440,,557640.363,32586.419,-2.210
2.450,,557640.041,32584.838,-2.220
2.530,,557639.707,32583.280,-2.270
2.540,,557639.418,32581.777,-2.310
2.570,,557639.151,32580.196,-2.340
2.630,,557638.895,32578.604,-2.390
2.610,,557638.683,32577.024,-2.390
2.580,,557638.450,32575.410,-2.360
2.630,,557638.194,32573.774,-2.420
2.640,,557637.916,32572.204,-2.380
2.760,,557637.515,32570.568,-2.530
3.400,,557637.092,32568.943,-3.160
3.680,,557636.703,32567.352,-3.460
3.980,,557636.303,32565.760,-3.760
4.120,,557635.969,32564.201,-3.890
4.150,,557635.735,32562.654,-3.950
4.140,,557635.490,32561.129,-3.930
4.140,,557635.223,32559.570,-3.900
4.140,,557634.945,32557.978,-3.900
4.200,,557634.678,32556.376,-3.960
4.230,,557634.411,32554.784,-3.980
4.300,,557634.111,32553.192,-4.040
4.300,,557633.755,32551.556,-4.070
4.350,,557633.354,32549.964,-4.130
4.410,,557632.954,32548.317,-4.180
4.480,,557632.565,32546.726,-4.210
4.490,,557632.220,32545.112,-4.200
4.580,,557631.886,32543.531,-4.330
4.630,,557631.597,32541.962,-4.380
4.700,,557631.341,32540.403,-4.480
4.670,,557631.096,32538.867,-4.480
